event_key,name,active,event_start,event_end,event_type,event_subtype,seats,description,speakers,moderators,artists,sponsors,exhibitors,volunteers,venue,address,media_url,company,audience,subject,geo_area,tags,host_org,rsvp_url,surveys
232,Evidence-Based Interventions to Reduce the Maternal Mortality Rate,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Oral Presentation,Allied Health,,,Kylle Tierney  Grace Kavanah Sophie Witkes Caeley Brown,,,,,,Cross Insurance Center,,,114,Room 8,,,"Nursing, Evidence-Based, OB",,,y
276,Preventing Catheter Associated UTIs,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Oral Presentation,Allied Health,,,Nicolette Curran  Haley Bissonhaley Kayla Meserve Cassidy Fielding,,,,,,Cross Insurance Center,,,115,Room 8,,,"UTI, catheter, prevention",,,y
312,Effect of Debriefing on New Nurse Burnout,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Oral Presentation,Allied Health,,,Sam Donnelly  Joci St. Jean Sarah Plunkett Kate Bleier,,,,,,Cross Insurance Center,,,116,Room 8,,,"Nursing, Burnout, Debriefing",,,y
344,Adverse Childhood Experiences and Poor Health Outcomes: The Need for Intervention,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Exhibit/Performance,Allied Health,,,Summer Cotter  Alexandra Harnden Amelia Wood Alexis Teed,,,,,,Cross Insurance Center,,,117,,,,"health care, mental health, disparities",,,y
152,Facilitating Meaningful Interpersonal Connections Through A Virtual Space,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Oral Presentation,Art (including fine arts and new media),,,Gene Herrschaft  ,,,,,,Cross Insurance Center,,,201,Room 8,,,"Virtual Reality, New Media",,,y
8,Dreamscape Installation,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Exhibit/Performance,Art (including fine arts and new media),,,Adam Paul  ,,,,,,Cross Insurance Center,,,202,,,,"dreams, installation, art",,,y
16,Transfer,Y,4-17-2018 1:30 PM,4-17-2018 3:00 PM,Exhibit/Performance,Art (including fine arts and new media),,,Alicia Champlin  ,,,,,,Cross Insurance Center,,,203,,,,"photography, semiotics, new media",,,y
28,Rebranded Traditions,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Exhibit/Performance,Art (including fine arts and new media),,,Amy Olivia Pierce  ,,,,,,Cross Insurance Center,,,204,,,,"Contemporary American Wedding Culture, Rebranded Traditions, Activist Wedding Art",,,y
38,Loss,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Exhibit/Performance,Art (including fine arts and new media),,,Anna Soule  ,,,,,,Cross Insurance Center,,,205,,,,"Intermedia, sculpture, Post-Traumatic-Growth, Identity",,,y
39,Asian Objectification #2: Oriental - Living Doll,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Exhibit/Performance,Art (including fine arts and new media),,,Anna Soule  ,,,,,,Cross Insurance Center,,,206,,,,"Intermedia, installation, performance art",,,y
73,Constructing Identity Through the Lens of Fashion,Y,4-17-2018 1:30 PM,4-17-2018 3:00 PM,Exhibit/Performance,Art (including fine arts and new media),,,Cara Doiron  ,,,,,,Cross Insurance Center,,,207,,,,"fashion, art, design",,,y
125,Project Neoism,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Exhibit/Performance,Art (including fine arts and new media),,,Eliza Bennett  ,,,,,,Cross Insurance Center,,,208,,,,"art movement, existentialism, new media",,,y
174,Objects As Musical Instruments,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Exhibit/Performance,Art (including fine arts and new media),,,James Winters  ,,,,,,Cross Insurance Center,,,209,,,,hurdy gurdy noise,,,y
196,18K HEMP,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Exhibit/Performance,Art (including fine arts and new media),,,Joshua Couturier  ,,,,,,Cross Insurance Center,,,210,,,,"Jewelry, Experimental, Metaphor",,,y
284,Stories of The Stillwater: A Liquid Perspective,Y,4-17-2018 1:30 PM,4-17-2018 3:00 PM,Exhibit/Performance,Art (including fine arts and new media),,,Peter Lajeunesse  Christian Powell,,,,,,Cross Insurance Center,,,211,,,,"visual perspective, water quality ",,,y
296,"Fall Semester 2017, First Year of Graduate School",Y,4-17-2018 1:30 PM,4-17-2018 3:00 PM,Exhibit/Performance,Art (including fine arts and new media),,,Rachel Church  ,,,,,,Cross Insurance Center,,,212,,,,"printmaking, artists' books, time",,,y
301,Reorganized Language,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Exhibit/Performance,Art (including fine arts and new media),,,Reed Hayden  ,,,,,,Cross Insurance Center,,,213,,,,,,,y
341,In Determinate,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Exhibit/Performance,Art (including fine arts and new media),,,Steve Norton  ,,,,,,Cross Insurance Center,,,214,,,,"sound, music, new media",,,y
346,Everyday Rituals: Employing Creative Process for Self-Development,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Exhibit/Performance,Art (including fine arts and new media),,,Susan Bryand  ,,,,,,Cross Insurance Center,,,215,,,,Intermedia,,,y
360,Microprojection and 3D Printing,Y,4-17-2018 1:30 PM,4-17-2018 3:00 PM,Exhibit/Performance,Art (including fine arts and new media),,,Tom Zani  ,,,,,,Cross Insurance Center,,,216,,,,"3D printing, Projection mapping, Intermedia",,,y
377,The Deathless Dance,Y,4-17-2018 1:30 PM,4-17-2018 3:00 PM,Exhibit/Performance,Art (including fine arts and new media),,,Virginia Valdes  ,,,,,,Cross Insurance Center,,,217,,,,"BioHacking, Dance, Telomere",,,y
12,Genomic Analysis of Novel Microbacterium Phage Sansa,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Poster,Biomedical Sciences,,,Alan Baez  David Claybrook Lucas Craig Niklas Hase Madeline Kimble Joshua Passarelli,,,,,,Cross Insurance Center,,,301,,,,"Virus, Genetics, Bacteria",,,y
13,Effects of Splenda on Mast Cell Degranulation,Y,4-17-2018 1:30 PM,4-17-2018 3:00 PM,Poster,Biomedical Sciences,,,Alan Baez  ,,,,,,Cross Insurance Center,,,302,,,,"Sweetener, Toxicology, Allergy",,,y
40,The Zebrafish Model of the Immune Response to Pseudomonas aeruginosa Infection in Cystic Fibrosis Patients,Y,4-17-2018 1:30 PM,4-17-2018 3:00 PM,Poster,Biomedical Sciences,,,Anna Struba  Ben Tero Caroline Spangenberg Sydney Green James Seuch,,,,,,Cross Insurance Center,,,303,,,,"Zebrafish model, genetics",,,y
41,Virulence Analysis of Clinically Isolated Streptococcus agalactiae Strains from Pregnant Individuals,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Poster,Biomedical Sciences,,,Anna Struba  Ben Tero,,,,,,Cross Insurance Center,,,304,,,,"Zebrafish Model, virulence",,,y
50,Using Mouse Behavioral Assays to Detect Differences in Olfactory Bulb Neurogenesis,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Poster,Biomedical Sciences,,,Ashleigh Beaulieu  ,,,,,,Cross Insurance Center,,,305,,,,"Neurobiology, Energy Balance",,,y
52,The Role of the Leucine Zipper Motif in CpsA Protein Function,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Poster,Biomedical Sciences,,,Atefeh Rajaei  ,,,,,,Cross Insurance Center,,,306,,,,"Molecular biology, Infectious disease, Group B Strep",,,y
54,Identification of TNFAIP8L1 Binding Partners through Co-Immunoprecipitation and Mass Spectrometry,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Poster,Biomedical Sciences,,,Audrey Hoyle  ,,,,,,Cross Insurance Center,,,307,,,,,,,y
58,Genome annotation of novel Gordonia bacteriophage LastResort,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Poster,Biomedical Sciences,,,Benjamin R. Williams  Bridget Fehrs Daniella Espinal Amelia St. John Colin Welch Kira Yardley,,,,,,Cross Insurance Center,,,308,,,,"Molecular, Biology, Bacteriophage",,,y
69,"Study of the Role of PtdIns(3,4) and PA in the Human TIPE1 Protein",Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Poster,Biomedical Sciences,,,Brittany White  Con Sullivan,,,,,,Cross Insurance Center,,,309,,,,,,,y
85,Characterizing Laminin Expression in a Zebrafish Model of Accelerated Aging,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Poster,Biomedical Sciences,,,Chaya Karunasiri  ,,,,,,Cross Insurance Center,,,310,,,,"laminin, muscle, zebrafish",,,y
102,Novel Microbacterium Phage Eden,Y,4-17-2018 1:30 PM,4-17-2018 3:00 PM,Poster,Biomedical Sciences,,,Dakota Archambault  Hector Orellana Isabelle Stevens Katharynne Hebert Emma Bragdon Heather Sterchele,,,,,,Cross Insurance Center,,,311,,,,"Bacteriophages, Genome, Microbiology",,,y
104,Power Spectral Image Analysis of Mammographic Breast Tissue,Y,4-17-2018 1:30 PM,4-17-2018 3:00 PM,Poster,Biomedical Sciences,,,Daniel D'Alessio  ,,,,,,Cross Insurance Center,,,312,,,,"Power Spectrum, mammogram, breast cancer",,,y
124,Reversing the Tide of Muscle Wasting in Muscular Dystrophy,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Poster,Biomedical Sciences,,,Elisabeth Kilroy  Kaylee Brann Alexandra Lewis Mackenzie Menard Lena Stasiak,,,,,,Cross Insurance Center,,,313,,,,"muscle, strength training, muscular dystrophy",,,y
127,Soft Robotic Arm Swing Gait Rehabilitation Device,Y,4-17-2018 1:30 PM,4-17-2018 3:00 PM,Poster,Biomedical Sciences,,,Elizabeth Gendreau  Victoria Courchaine Rachel Detwiler Marinna Smith,,,,,,Cross Insurance Center,,,314,,,,"Bioengineering, Rehabilitation",,,y
128,Toward an Efficient Computational Method to Construct 3-D Atomic Resolution Glycosaminoglycan Models,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Poster,Biomedical Sciences,,,Elizabeth K. Whitmore  Hanna Sihler Olgun Guvench,,,,,,Cross Insurance Center,,,315,,,,"molecular dynamics, computational methods, polymer conformation",,,y
142,The Effects of Ethanol Withdrawal on C57BL/6J and C57BL/6N Mice,Y,4-17-2018 1:30 PM,4-17-2018 3:00 PM,Poster,Biomedical Sciences,,,Eric LeVasseur  ,,,,,,Cross Insurance Center,,,316,,,,"Behavior, Biology, Ethanol",,,y
143,Elucidating the mechanisms governing neuromuscular phenotypic variation in a zebrafish muscular dystrophy model,Y,4-17-2018 1:30 PM,4-17-2018 3:00 PM,Poster,Biomedical Sciences,,,Erin Bailey  ,,,,,,Cross Insurance Center,,,317,,,,"Zebrafish, development, genetics",,,y
154,Mycobacteriophage Aminay Genome Annotation,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Poster,Biomedical Sciences,,,Gina DiFederico  Loryn Porter Alejandro Casillas Hannah Clement Maya Holmes,,,,,,Cross Insurance Center,,,318,,,,"Bacteriophage, Genome, Annotation",,,y
177,"Determining the Gene Location and Gene Expression Profile of Mycobacterium chelonae Bergey Prophage, McProf Using Bioinformatic Tools and RNA-seq",Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Poster,Biomedical Sciences,,,Jaycee Cushman  ,,,,,,Cross Insurance Center,,,319,,,,,,,y
190,Progression of Cardiomyogenesis from Embryonic Stem Cells in a Three-Dimensional Gel Matrix,Y,4-17-2018 1:30 PM,4-17-2018 3:00 PM,Poster,Biomedical Sciences,,,Jonathan Bomar  ,,,,,,Cross Insurance Center,,,320,,,,"Stem cells, development, tissue engineering",,,y
227,Differential Expression of Neutrophil Function Genes in a Zebrafish Model of Innate Immune Function in Individuals with Cystic Fibrosis,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Poster,Biomedical Sciences,,,Kodey Silknitter  Lily Charpentier Alan Baez Erin Merchant Katherine Larochelle,,,,,,Cross Insurance Center,,,321,,,,"Bioinformatics, Cystic Fibrosis, Genetics",,,y
230,Confirming mTERT as a Novel and Unique Marker for Adult Neural Stem Cells,Y,4-17-2018 1:30 PM,4-17-2018 3:00 PM,Poster,Biomedical Sciences,,,Krystyna Rybka  ,,,,,,Cross Insurance Center,,,322,,,,"Neuroscience, Stem Cells",,,y
231,FOXD1 Promotes Stromal Investment in Clear Cell Renal Cell Carcinoma,Y,4-17-2018 1:30 PM,4-17-2018 3:00 PM,Poster,Biomedical Sciences,,,Kyle Bond  ,,,,,,Cross Insurance Center,,,323,,,,"cancer, kidney, biomedical science",,,y
247,Development of a High-throughput Screen for Analysis of JC Polyomavirus Infection,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Poster,Biomedical Sciences,,,Mason Crocker  ,,,,,,Cross Insurance Center,,,324,,,,"Virology, In cell western, High-throughput screening",,,y
259,The Metabolic Behavior of M1-Like Macrophages when Treated with Extracts from Anti-Inflammatory Foods,Y,4-17-2018 1:30 PM,4-17-2018 3:00 PM,Poster,Biomedical Sciences,,,Mitchell Harling  ,,,,,,Cross Insurance Center,,,325,,,,"Macrophage, Optical metabolic imaging, Cancer",,,y
273,Nanocellulose Conduits for Enhanced Regeneration of Peripheral Nerve Injury,Y,4-17-2018 1:30 PM,4-17-2018 3:00 PM,Poster,Biomedical Sciences,,,Nicklaus Carter  ,,,,,,Cross Insurance Center,,,326,,,,"Cellulose, Nerve, Regeneration",,,y
320,Lysogenic gene expression profile of Mycobacteriophage Cuke in Mycobacterium smegmatis.,Y,4-17-2018 1:30 PM,4-17-2018 3:00 PM,Poster,Biomedical Sciences,,,Sarah McCallister  ,,,,,,Cross Insurance Center,,,327,,,,"Bacteriophage, RNA Seq, Pathogens ",,,y
321,Investigating the antiviral effects of hemocyanin derived from Homo americanus,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Poster,Biomedical Sciences,,,Sarah Nichols  ,,,,,,Cross Insurance Center,,,328,,,,"Vuris, Antivirals, JC Polyomavirus ",,,y
323,Endoplasmic Reticulum Stress Causes Downregulation of TNFAIP8L1 Expression in Cancer Cells,Y,4-17-2018 1:30 PM,4-17-2018 3:00 PM,Poster,Biomedical Sciences,,,Sari Mayhue  ,,,,,,Cross Insurance Center,,,329,,,,"Cancer, Biochemistry, Genetics",,,y
348,Determining the Role of SalY of Streptococcus pyogenes in Immune Evasion using Fluorescence Microscopy,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Poster,Biomedical Sciences,,,Taaniel Kiidli  ,,,,,,Cross Insurance Center,,,330,,,,"microbiology, infectious disease, immunology",,,y
349,Synthesis of Water Soluble Azobenzene For Use in Biological System Manipulation,Y,4-17-2018 1:30 PM,4-17-2018 3:00 PM,Poster,Biomedical Sciences,,,Takquan Parks  ,,,,,,Cross Insurance Center,,,331,,,,"Chemistry, Molecular Biology, Synthetic Organc Chemistry",,,y
361,Not Always as it Steams: Determining Gene Functions for Cluster A12 Bacteriophage Steamy,Y,4-17-2018 1:30 PM,4-17-2018 3:00 PM,Poster,Biomedical Sciences,,,Tristan Fong  Francois Levasseur Anna Schumann Camden Fowler Lexi Galdo Benjamin Moore,,,,,,Cross Insurance Center,,,332,,,,"Genetics, phage, mycobacteriophage",,,y
23,A Functional Analysis of PAZ 5 A Protein Acyltransferase,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Oral Presentation,Biomedical Sciences,,,Alyssa Jones  ,,,,,,Cross Insurance Center,,,333,Room 1,,,"dictyostelium, Paz 5, biomedical science",,,y
26,Characterization and Functional Rescue Mechanisms of Congenital Muscular Dystrophy with Megaconial Myopathy in a Mouse Model.,Y,4-17-2018 1:30 PM,4-17-2018 3:00 PM,Oral Presentation,Biomedical Sciences,,,Ambreen Sayed  ,,,,,,Cross Insurance Center,,,334,Room 1,,,"Genetics, Gene Therapy, rare diseases",,,y
30,The Effects of Activated G-alpha on the Localization of Formin and MAP Kinase,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Oral Presentation,Biomedical Sciences,,,Andrew Hart  ,,,,,,Cross Insurance Center,,,335,Room 1,,,"Biochemistry, Cell Signaling, GPCR",,,y
51,IP3R-Mediated ER Ca2+ Release Drives JCPyV Infection,Y,4-17-2018 1:30 PM,4-17-2018 3:00 PM,Oral Presentation,Biomedical Sciences,,,Ashley Soucy  Jeanne K. Dushane,,,,,,Cross Insurance Center,,,336,Room 1,,,,,,y
83,The Synthesis and Application of Chiral Phosphate Mimics,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Oral Presentation,Biomedical Sciences,,,Catherine Tufts  ,,,,,,Cross Insurance Center,,,337,Room 1,,,"therapeutic, chiral, phosphate",,,y
90,The Roles of the Epidermal Growth Factor in Response to Candida albicans Infection,Y,4-17-2018 1:30 PM,4-17-2018 3:00 PM,Oral Presentation,Biomedical Sciences,,,Christian Zwirner,,,,,,Cross Insurance Center,,,338,Room 1,,,"Infectious disease, immunology, zebrafish",,,y
99,In Vivo Calcium Imaging in Adipose Tissue after Administration of a Lipid Metabolite Reveals Increased Nerve Activity,Y,4-17-2018 1:30 PM,4-17-2018 3:00 PM,Oral Presentation,Biomedical Sciences,,,Cory Johnson  ,,,,,,Cross Insurance Center,,,339,Room 1,,,"Neuroscience, Biomedical, Biology",,,y
126,Regulation of Laminin Expression in Aging Muscle,Y,4-17-2018 1:30 PM,4-17-2018 3:00 PM,Oral Presentation,Biomedical Sciences,,,Elizabeth Coffey  ,,,,,,Cross Insurance Center,,,340,Room 2,,,"laminin, muscle, zebrafish",,,y
133,Translational and Transcriptional Profiling of Motor Neurons in Mouse Models of Charcot-Marie-Tooth Type 2D,Y,4-17-2018 1:30 PM,4-17-2018 3:00 PM,Oral Presentation,Biomedical Sciences,,,Emily Spaulding  ,,,,,,Cross Insurance Center,,,341,Room 1,,,"Neuroscience, Translation, RNA",,,y
149,Determining Common Hypothalamic Nuclei Responsible for Sympathetic Outflow to Bone and Brown Adipose Tissue,Y,4-17-2018 1:30 PM,4-17-2018 3:00 PM,Oral Presentation,Biomedical Sciences,,,Gabriel Jensen  ,,,,,,Cross Insurance Center,,,342,Room 2,,,"biomedical science, metabolic disorders, trans-synaptic pathways",,,y
153,Case Study of a Mastitis Outbreak on a Small Maine Dairy Farm,Y,4-17-2018 1:30 PM,4-17-2018 3:00 PM,Oral Presentation,Biomedical Sciences,,,Gianna Dettorre  ,,,,,,Cross Insurance Center,,,343,Room 2,,,"Dairy, Mastitis, Farm",,,y
178,Characterization of MAPK-induced transcription factor activation during JCPyV infection,Y,4-17-2018 1:30 PM,4-17-2018 3:00 PM,Oral Presentation,Biomedical Sciences,,,Jeanne DuShane  ,,,,,,Cross Insurance Center,,,344,Room 1,,,"Virus, Signaling, Transcription",,,y
205,Molecular Mechanisms of Inhibitory Action of Triclosan on Mast Cell Signal Transduction,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Oral Presentation,Biomedical Sciences,,,Juyoung Shim  ,,,,,,Cross Insurance Center,,,345,Room 2,,,"Biomedical, Toxicology, Signaling pathway",,,y
240,The Importance of Brain-Adipose Communication for Metabolic Homeostasis,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Oral Presentation,Biomedical Sciences,,,Magda Blaszkiewicz  ,,,,,,Cross Insurance Center,,,346,Room 2,,,"peripheral nerves, adipose tissue, metabolism",,,y
251,"""CTHRC1: Novel Insights to Treat Obesity and Diabetes""",Y,4-17-2018 1:30 PM,4-17-2018 3:00 PM,Oral Presentation,Biomedical Sciences,,,Matthew Siviski  ,,,,,,Cross Insurance Center,,,347,Room 2,,,"Obesity, diabetes, CTHRC1 ",,,y
256,Human JC Polyomavirus Infection of Primary Astrocytes: A Model for a Deadly Disease,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Oral Presentation,Biomedical Sciences,,,Michael Wilczek  ,,,,,,Cross Insurance Center,,,348,Room 2,,,"Microbiology, Virology, Immunology",,,y
261,Rapid Concentration of Streptococci for Detection in the Field,Y,4-17-2018 1:30 PM,4-17-2018 3:00 PM,Oral Presentation,Biomedical Sciences,,,Molly Masson  ,,,,,,Cross Insurance Center,,,349,Room 2,,,"horses, streptococcus, diagnosis",,,y
277,"""Tanycytes and Their Role in Hypothalamic Neurogenesis and Energy Balance""",Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Oral Presentation,Biomedical Sciences,,,Noelle Leon-Palmer  ,,,,,,Cross Insurance Center,,,350,Room 2,,,"Tanycytes, Metabolism, Adult Neural Stem Cells",,,y
281,Shifting the Spectrum: Utilizing a Known Modifier Locus to Suppress Disease Severity in Ighmbp2-Associated Diseases,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Oral Presentation,Biomedical Sciences,,,Paige Martin  ,,,,,,Cross Insurance Center,,,351,Room 1,,,"Genetics, Neuroscience, Models",,,y
319,Characterization of G Protein Membrane Clustering by Super Resolution Imaging,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Oral Presentation,Biomedical Sciences,,,Sarah Alamer  ,,,,,,Cross Insurance Center,,,352,Room 2,,,,,,y
322,Understanding the Role of Prophage in Mycobacterial Host Fitness and Gene Expression,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Oral Presentation,Biomedical Sciences,,,Sarai Smith  ,,,,,,Cross Insurance Center,,,353,Room 1,,,"RNAseq, pathogens, phage",,,y
324,Role of Kelch Proteins in Gradient Tracking,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Oral Presentation,Biomedical Sciences,,,Savannah Sojka  ,,,,,,Cross Insurance Center,,,354,Room 1,,,"Signalling, Microfluidics, Kelch",,,y
338,Efficiency of Melatonin in Inhibiting Haemonchus Contortus Development,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Oral Presentation,Biomedical Sciences,,,Stephanie McAvoy  ,,,,,,Cross Insurance Center,,,355,Room 1,,,"Animal Health, Sheep Health, Parasite Research",,,y
366,Preventing Gastric Ulcers in the Horse by Adding Forage to Grain,Y,4-17-2018 1:30 PM,4-17-2018 3:00 PM,Oral Presentation,Biomedical Sciences,,,Victoria Sorrentino  ,,,,,,Cross Insurance Center,,,356,Room 2,,,"Horse, Mastication, Forage",,,y
371,Dynamic Regulation of G-Protein Signaling in S. cerevisiae,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Oral Presentation,Biomedical Sciences,,,William Simke  ,,,,,,Cross Insurance Center,,,357,Room 2,,,"Biochemistry, Signaling, Microfluidics",,,y
43,Epidermal damage as underlying cause of paclitaxel-induced peripheral neuropathy,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Exhibit/Performance,Biomedical Sciences,,,Anthony Cirrincione  ,,,,,,Cross Insurance Center,,,358,,,,,,,y
48,Hypoxemia in Obstructive Sleep Apnea Individuals as a Proposed Factor in the Detection of MCI,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Exhibit/Performance,Biomedical Sciences,,,Ariel Bouchard  ,,,,,,Cross Insurance Center,,,359,,,,"Aging, Cognitive Impairment, Sleep",,,y
67,Patient Monitoring: A Novel Approach to Remote Biometric Transmission,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Exhibit/Performance,Biomedical Sciences,,,Brianna DeGone  Courtney Morse Matthew Stewart Michael Maier,,,,,,Cross Insurance Center,,,360,,,,"bioengineering, telemedicine, search and rescue",,,y
74,Absence of Alpha-Synuclein (Snca) Protects Against Ovariectomy-Induced Bone Loss and Weight Gain,Y,4-17-2018 1:30 PM,4-17-2018 3:00 PM,Exhibit/Performance,Biomedical Sciences,,,Carolina Figueroa  ,,,,,,Cross Insurance Center,,,361,,,,"bone biology, osteoporosis, estrogen deficiency",,,y
88,Network Dynamics of MicroRNA Co-Expression During Innate Immune System Responses,Y,4-17-2018 1:30 PM,4-17-2018 3:00 PM,Exhibit/Performance,Biomedical Sciences,,,Chenhao Yang  ,,,,,,Cross Insurance Center,,,362,,,,"Cystic fibrosis, MicroRNA, Zebrafish",,,y
